Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,7.449180603027344
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.171081781387329
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,7.245599746704102
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.683263778686523
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,11.055229187011719
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.726738929748535
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,7.3830695152282715
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.437816381454468
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.181182861328125
gpt-3.5-turbo-1106,0_9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.35468316078186
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.696580648422241
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.474345445632935
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.807318449020386
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.257315635681152
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.219518899917603
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.332382202148438
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.241188287734985
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.234229564666748
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,16.07378578186035
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,True,80,70,7.0,80,70,15.714051723480225
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.557751178741455
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.842936038970947
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.598244190216064
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.940080642700195
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.691498756408691
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.09036636352539
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.629521131515503
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.06775450706482
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.832818508148193
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.824434280395508
