Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.134389877319336
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.787771224975586
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,9.262094736099243
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,6.820880651473999
gpt-3.5-turbo-1106,0_4,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,90,85,7.930853366851807
gpt-3.5-turbo-1106,0_5,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,85,90,4.5,80,85,5.636447191238403
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.697263240814209
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.923434019088745
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.866261005401611
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.090015172958374
llama-v2-13b-chat,0_0,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.652648448944092
llama-v2-13b-chat,0_1,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.473367691040039
llama-v2-13b-chat,0_2,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.660581350326538
llama-v2-13b-chat,0_3,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.325558423995972
llama-v2-13b-chat,0_4,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.442810535430908
llama-v2-13b-chat,0_5,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.340586423873901
llama-v2-13b-chat,0_6,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.50951623916626
llama-v2-13b-chat,0_7,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.880847215652466
llama-v2-13b-chat,0_8,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,16.1417019367218
llama-v2-13b-chat,0_9,2.0,4.0,5.0,7.0,8.0,9.0,,True,75,55,7.5,75,55,15.668153285980225
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.097782850265503
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.640971422195435
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.677001237869263
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.63522744178772
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.940918207168579
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.340214014053345
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.405665874481201
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.325125217437744
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.999030351638794
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.732988834381104
