Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.483421325683594
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.614721298217773
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,9.495319604873657
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,6.94515585899353
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.526811122894287
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,6.9043684005737305
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.290554285049438
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.855486869812012
gpt-3.5-turbo-1106,0_8,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,12.199082612991333
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.236617565155029
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,8.0,,False,60,70,7.5,60,70,17.609272003173828
llama-v2-13b-chat,0_1,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.8804030418396
llama-v2-13b-chat,0_2,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.442004442214966
llama-v2-13b-chat,0_3,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.464618682861328
llama-v2-13b-chat,0_4,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.697113752365112
llama-v2-13b-chat,0_5,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.409687519073486
llama-v2-13b-chat,0_6,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.52795648574829
llama-v2-13b-chat,0_7,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.63726568222046
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,8.0,,False,60,70,7.5,60,70,17.782249927520752
llama-v2-13b-chat,0_9,1.0,3.0,2.0,4.0,6.0,7.0,,True,70,60,5.5,,,16.484724044799805
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.998157501220703
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.72378396987915
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.164064884185791
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.025163412094116
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.2156982421875
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.72399377822876
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.665628671646118
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.092808246612549
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.173477411270142
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.000242948532104
