Model,Road,Matched,Success,Difference,Robustness
gpt-3.5-turbo-1106,Road1,6.90625,8.078125,2.34375,12.640625
gpt-3.5-turbo-1106,Road2,6.6875,7.8671875,2.359375,12.1953125
gpt-3.5-turbo-1106,Road3,6.6953125,7.7109375,2.03125,12.375
gpt-3.5-turbo-1106,Road4,7.1015625,8.15625,2.109375,13.1484375
llama-v2-13b-chat,Road1,6.4609375,7.49609375,2.0703125,11.88671875
llama-v2-13b-chat,Road2,3.8359375,5.38671875,3.1015625,6.12109375
llama-v2-13b-chat,Road3,4.125,5.91796875,3.5859375,6.45703125
llama-v2-13b-chat,Road4,6.984375,7.48046875,0.9921875,13.47265625
mistral-7b-instruct-4k,Road1,3.4765625,4.54296875,2.1328125,5.88671875
mistral-7b-instruct-4k,Road2,2.6015625,4.06640625,2.9296875,3.73828125
mistral-7b-instruct-4k,Road3,3.671875,5.12890625,2.9140625,5.88671875
mistral-7b-instruct-4k,Road4,3.9765625,5.046875,2.140625,6.8828125
