Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.532454490661621
gpt-3.5-turbo-1106,0_1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.296615839004517
gpt-3.5-turbo-1106,0_2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.261123657226562
gpt-3.5-turbo-1106,0_3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,6.6437647342681885
gpt-3.5-turbo-1106,0_4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.37728214263916
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.897083282470703
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,5.658371448516846
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,6.932903051376343
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,6.782086610794067
gpt-3.5-turbo-1106,0_9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,6.807754039764404
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.93905997276306
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.71217966079712
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.482817888259888
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.67697286605835
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.575568437576294
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.569379568099976
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.488986253738403
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.569472074508667
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.85714602470398
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,80,70,6.5,,,17.619543313980103
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.635925054550171
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.233555555343628
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.417652368545532
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.559795141220093
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.408204555511475
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.66027283668518
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.234289407730103
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.243967771530151
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.797601699829102
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,50,50,5.0,50,50,9.448406457901001
