Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,9.5,9.0,8.5,8.0,7.5,7.0,False,70,80,8.5,90,85,7.314579010009766
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,14.104158639907837
gpt-3.5-turbo-1106,0_2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,13.022631406784058
gpt-3.5-turbo-1106,0_3,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,14.53907036781311
gpt-3.5-turbo-1106,0_4,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,11.53815245628357
gpt-3.5-turbo-1106,0_5,7.5,6.5,6.0,5.5,5.0,4.5,4.0,False,75,85,5.5,80,90,10.006014823913574
gpt-3.5-turbo-1106,0_6,,,,,,,,True,,,,,,9.566134929656982
gpt-3.5-turbo-1106,0_7,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,15.05906081199646
gpt-3.5-turbo-1106,0_8,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,90,4.5,80,85,10.895559787750244
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,17.25892400741577
llama-v2-13b-chat,0_0,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.291985273361206
llama-v2-13b-chat,0_1,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.181874513626099
llama-v2-13b-chat,0_2,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.154469013214111
llama-v2-13b-chat,0_3,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.175233602523804
llama-v2-13b-chat,0_4,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.564001560211182
llama-v2-13b-chat,0_5,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.548346996307373
llama-v2-13b-chat,0_6,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.084331512451172
llama-v2-13b-chat,0_7,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.188819408416748
llama-v2-13b-chat,0_8,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.201272249221802
llama-v2-13b-chat,0_9,1.0,3.0,6.0,8.0,8.0,7.0,,True,85,90,7.5,85,90,15.22653079032898
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.678754806518555
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.50658106803894
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.672956943511963
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.993032455444336
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.13451099395752
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.828511476516724
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.202014446258545
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.18451714515686
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.254470109939575
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,6.0,0,0,9.23892092704773
