Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,9.030813217163086
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,8.988561391830444
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,9.29545545578003
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,95,90,10.45094347000122
gpt-3.5-turbo-1106,0_4,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,80,4.5,70,85,5.302883148193359
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,7.350056886672974
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,7.195777177810669
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,7.825823068618774
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.6696195602417
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,8.815004825592041
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.267356634140015
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.19865846633911
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,15.989810228347778
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.002412796020508
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,15.986464023590088
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.427149057388306
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.156277179718018
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.127044677734375
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,15.930063486099243
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,8.5,9.0,,True,80,70,8.0,80,70,16.15717387199402
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.392673015594482
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.722769737243652
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.612325429916382
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.299311399459839
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.429754257202148
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.826349973678589
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.544729709625244
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.640281915664673
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.52100396156311
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,5.0,20,20,9.770154237747192
