Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,10.724034309387207
gpt-3.5-turbo-1106,0_1,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,70,80,4.5,75,85,8.069280624389648
gpt-3.5-turbo-1106,0_2,5.0,7.0,7.5,8.0,8.0,8.0,8.0,True,90,85,7.5,85,80,12.135237216949463
gpt-3.5-turbo-1106,0_3,7.5,6.5,5.0,4.0,3.5,3.0,2.5,False,70,80,4.5,75,85,9.378295183181763
gpt-3.5-turbo-1106,0_4,8.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,8.71,90,85,12.890624284744263
gpt-3.5-turbo-1106,0_5,9.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.4,95,90,12.666147947311401
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,13.704206943511963
gpt-3.5-turbo-1106,0_7,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,5.5,75,85,9.779575824737549
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,13.869493007659912
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,13.171895980834961
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.42435383796692
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.780866146087646
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.82084631919861
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.230085849761963
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,18.385377883911133
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.375861406326294
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.927423000335693
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.89686942100525
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,18.696887254714966
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,6.5,,,17.048813104629517
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.605924129486084
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,13.108607769012451
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.905479431152344
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.620046138763428
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.702477931976318
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.672263383865356
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.26891803741455
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.453100442886353
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.326910495758057
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.75640606880188
