Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,90,4.5,80,85,7.0771191120147705
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,9.245222806930542
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.0950093269348145
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.990663051605225
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,6.569633483886719
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,6.925037860870361
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.2588112354278564
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.556617736816406
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,9.508044719696045
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.768586874008179
llama-v2-13b-chat,0_0,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.821712970733643
llama-v2-13b-chat,0_1,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.462955951690674
llama-v2-13b-chat,0_2,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.717218399047852
llama-v2-13b-chat,0_3,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.479098320007324
llama-v2-13b-chat,0_4,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.421175003051758
llama-v2-13b-chat,0_5,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.490964889526367
llama-v2-13b-chat,0_6,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.54996943473816
llama-v2-13b-chat,0_7,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.667901039123535
llama-v2-13b-chat,0_8,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.301248788833618
llama-v2-13b-chat,0_9,2.0,4.0,3.0,4.5,3.5,4.2,,False,20,30,3.5,25,40,15.334317207336426
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.940231084823608
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.773580551147461
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.736612558364868
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.166521310806274
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.750089645385742
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.374576330184937
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,13.030930757522583
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.661629915237427
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.112209558486938
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.297176837921143
